image_name,n_participants_target,target_crr,target_hr,target_far,target_hit,target_miss,target_fa,target_cr,n_participants_filler,filler_hit,filler_miss,filler_fa,filler_cr
0000.jpg,45,0.7999999999999999,0.8222222222222222,0.022222222222222223,37,8,1,44,92,3,3,8,84
0001.jpg,33,0.7272727272727273,0.8484848484848485,0.12121212121212122,28,5,4,29,88,8,2,12,76
0002.jpg,41,0.43902439024390244,0.7317073170731707,0.2926829268292683,30,11,12,29,86,11,2,33,53
0003.jpg,34,0.5294117647058822,0.8823529411764706,0.35294117647058826,30,4,12,22,100,9,3,21,79
0004.jpg,61,0.39344262295081966,0.5245901639344263,0.13114754098360656,32,29,8,53,105,5,8,7,98
0005.jpg,40,0.475,0.625,0.15,25,15,6,34,91,7,4,12,79
0006.jpg,40,0.825,0.95,0.125,38,2,5,35,95,10,0,12,83
0007.jpg,45,0.7999999999999999,0.8888888888888888,0.08888888888888889,40,5,4,41,90,5,2,9,81
0008.jpg,44,0.5681818181818181,0.7954545454545454,0.22727272727272727,35,9,10,34,90,10,5,31,59
0009.jpg,62,0.7096774193548387,0.8387096774193549,0.12903225806451613,52,10,8,54,108,9,1,21,87
0010.jpg,42,0.6428571428571429,0.8095238095238095,0.16666666666666666,34,8,7,35,100,9,1,18,82
0011.jpg,36,0.5555555555555556,0.8055555555555556,0.25,29,7,9,27,102,11,4,33,69
0012.jpg,41,0.4146341463414634,0.7073170731707317,0.2926829268292683,29,12,12,29,105,6,5,21,84
0013.jpg,41,0.5365853658536586,0.7560975609756098,0.21951219512195122,31,10,9,32,108,5,3,14,94
0014.jpg,46,0.5869565217391305,0.782608695652174,0.1956521739130435,36,10,9,37,97,7,4,25,72
0015.jpg,40,0.5249999999999999,0.7,0.175,28,12,7,33,86,9,0,12,74
0016.jpg,41,0.6341463414634148,0.926829268292683,0.2926829268292683,38,3,12,29,109,12,1,22,87
0017.jpg,27,0.6666666666666666,0.8148148148148148,0.14814814814814814,22,5,4,23,109,8,1,21,88
0018.jpg,48,0.5833333333333334,0.6875,0.10416666666666667,33,15,5,43,104,6,2,8,96
0019.jpg,39,0.6153846153846154,0.7692307692307693,0.15384615384615385,30,9,6,33,91,5,2,11,80
0020.jpg,37,0.3513513513513513,0.7837837837837838,0.43243243243243246,29,8,16,21,105,8,1,37,68
0021.jpg,45,0.4666666666666667,0.5555555555555556,0.08888888888888889,25,20,4,41,97,15,5,12,85
0022.jpg,47,0.7234042553191489,0.8936170212765957,0.1702127659574468,42,5,8,39,90,11,0,8,82
0023.jpg,41,0.7317073170731707,0.7317073170731707,0.0,30,11,0,41,93,14,3,7,86
0024.jpg,39,0.6923076923076923,0.7692307692307693,0.07692307692307693,30,9,3,36,112,13,3,3,109
0025.jpg,31,0.4516129032258065,0.5806451612903226,0.12903225806451613,18,13,4,27,97,7,4,19,78
0026.jpg,42,0.7857142857142857,0.8809523809523809,0.09523809523809523,37,5,4,38,93,5,5,14,79
0027.jpg,27,0.5555555555555556,0.7037037037037037,0.14814814814814814,19,8,4,23,106,9,0,21,85
0028.jpg,42,0.42857142857142855,0.7619047619047619,0.3333333333333333,32,10,14,28,103,13,5,42,61
0029.jpg,44,0.6363636363636364,0.7954545454545454,0.1590909090909091,35,9,7,37,93,10,5,13,80
0030.jpg,39,0.5641025641025641,0.6410256410256411,0.07692307692307693,25,14,3,36,89,9,6,7,82
0031.jpg,40,0.725,0.85,0.125,34,6,5,35,92,8,2,9,83
0032.jpg,48,0.6041666666666667,0.8333333333333334,0.22916666666666666,40,8,11,37,98,5,7,23,75
0033.jpg,45,0.4666666666666667,0.8444444444444444,0.37777777777777777,38,7,17,28,107,5,2,18,89
0034.jpg,41,0.5853658536585367,0.7804878048780488,0.1951219512195122,32,9,8,33,94,6,5,19,75
0035.jpg,41,0.6097560975609757,0.6829268292682927,0.07317073170731707,28,13,3,38,88,8,4,5,83
0036.jpg,42,0.4523809523809524,0.6904761904761905,0.23809523809523808,29,13,10,32,87,9,5,25,62
0037.jpg,46,0.43478260869565216,0.5434782608695652,0.10869565217391304,25,21,5,41,92,7,3,14,78
0038.jpg,37,0.5945945945945946,0.6486486486486487,0.05405405405405406,24,13,2,35,90,5,2,6,84
0039.jpg,40,0.65,0.775,0.125,31,9,5,35,101,13,2,16,85
0040.jpg,40,0.8,0.9,0.1,36,4,4,36,99,11,1,7,92
0041.jpg,33,0.48484848484848486,0.7272727272727273,0.24242424242424243,24,9,8,25,99,7,1,30,69
0042.jpg,36,0.6111111111111112,0.75,0.1388888888888889,27,9,5,31,107,9,1,12,95
0043.jpg,43,0.6976744186046511,0.8604651162790697,0.16279069767441862,37,6,7,36,97,7,4,23,74
0044.jpg,50,0.5,0.8,0.3,40,10,15,35,83,15,1,25,58
0045.jpg,58,0.4137931034482759,0.9137931034482759,0.5,53,5,29,29,70,8,0,26,44
0046.jpg,35,0.42857142857142855,0.8571428571428571,0.42857142857142855,30,5,15,20,89,13,3,30,59
0047.jpg,32,0.59375,0.8125,0.21875,26,6,7,25,110,12,2,18,92
0048.jpg,42,0.3333333333333333,0.5714285714285714,0.23809523809523808,24,18,10,32,78,3,6,10,68
0049.jpg,32,0.625,0.90625,0.28125,29,3,9,23,86,9,3,35,51
0050.jpg,38,0.6578947368421053,0.8157894736842105,0.15789473684210525,31,7,6,32,88,3,2,18,70
0051.jpg,41,0.6097560975609756,0.7804878048780488,0.17073170731707318,32,9,7,34,105,6,5,21,84
0052.jpg,41,0.41463414634146345,0.5121951219512195,0.0975609756097561,21,20,4,37,103,9,3,21,82
0053.jpg,28,0.4285714285714286,0.9285714285714286,0.5,26,2,14,14,97,12,3,39,58
0054.jpg,53,0.45283018867924524,0.7358490566037735,0.2830188679245283,39,14,15,38,99,11,2,28,71
0055.jpg,46,0.6086956521739131,0.8043478260869565,0.1956521739130435,37,9,9,37,99,10,4,28,71
0056.jpg,42,0.7380952380952381,0.9047619047619048,0.16666666666666666,38,4,7,35,86,14,0,16,70
0057.jpg,48,0.41666666666666674,0.6458333333333334,0.22916666666666666,31,17,11,37,107,4,8,16,91
0058.jpg,43,0.7906976744186046,0.8604651162790697,0.06976744186046512,37,6,3,40,85,8,0,9,76
0059.jpg,40,0.675,0.925,0.25,37,3,10,30,107,16,1,28,79
0060.jpg,42,0.8333333333333333,0.8809523809523809,0.047619047619047616,37,5,2,40,104,10,7,15,89
0061.jpg,43,0.7441860465116279,0.8604651162790697,0.11627906976744186,37,6,5,38,93,7,3,8,85
0062.jpg,47,0.5531914893617021,0.7021276595744681,0.14893617021276595,33,14,7,40,105,13,2,14,91
0063.jpg,44,0.8863636363636364,0.9318181818181818,0.045454545454545456,41,3,2,42,100,9,0,10,90
0064.jpg,36,0.5,0.6944444444444444,0.19444444444444445,25,11,7,29,79,7,5,12,67
0065.jpg,46,0.30434782608695654,0.782608695652174,0.4782608695652174,36,10,22,24,103,13,3,32,71
0066.jpg,44,0.6136363636363636,0.8181818181818182,0.20454545454545456,36,8,9,35,100,10,1,26,74
0067.jpg,46,0.49999999999999994,0.7391304347826086,0.2391304347826087,34,12,11,35,83,8,2,29,54
0068.jpg,50,0.64,0.8,0.16,40,10,8,42,83,5,4,14,69
0069.jpg,40,0.6499999999999999,0.825,0.175,33,7,7,33,102,7,1,12,90
0070.jpg,44,0.5,0.6363636363636364,0.13636363636363635,28,16,6,38,105,6,4,13,92
